序号,指标类型1/2/3/4/5,点描述 ,点名,实际值,期望值,D//-D,上上限H,下下限L,触发标签,坏点时间,备用1,备用2,备用3
1164,1//5,SCR反应器3A入口温度3,N3DCS.31HSA30CT103,,CDATA['N3DCS.LA20D20001'],"Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,320,100,100,200,40,300,30,700,35,800,40,900,50,1201,60])","Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,320,100,340,200,350,300,360,700,385,800,385,900,385,1201,390])","Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,0,100,100,200,275,300,280,700,300,800,300,900,300,1201,320])*CDATA['N3DCS.3ZABA05FADI']",,,,,1
1165,1//5,SCR反应器3A出口温度1,N3DCS.31HSA40CT101,,CDATA['N3DCS.LA20D20002'],20,"Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,320,100,340,200,350,300,360,700,385,800,385,900,385,1201,390])","Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,0,100,100,200,275,300,280,700,300,800,300,900,300,1201,320])*CDATA['N3DCS.3ZABA05FADI']",,,,,1
1166,1//5,SCR反应器3A 出口温度2,N3DCS.31HSA40CT102,,CDATA['N3DCS.LA20D20002'],20,"Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,320,100,340,200,350,300,360,700,385,800,385,900,385,1201,390])","Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,0,100,100,200,275,300,280,700,300,800,300,900,300,1201,320])*CDATA['N3DCS.3ZABA05FADI']",,,,,1
1167,1//5,SCR反应器3B入口温度设定,N3DCS.LA20D20101,,320,"max(100-CDATA['N3DCS.3CCSMSFLOW'],0.5)",330,310,CDATA['N3DCS.3BM04614'],,,,1
1168,1//5,SCR反应器3B入口温度1,N3DCS.32HSA30CT101,,CDATA['N3DCS.LA20D20101'],"Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,320,100,100,200,40,300,30,700,35,800,40,900,50,1201,60])","Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,320,100,340,200,350,300,360,700,385,800,385,900,385,1201,390])","Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,0,100,100,200,275,300,280,700,300,800,300,900,300,1201,320])*CDATA['N3DCS.3ZABA06FADI']",,,,,1
1169,1//5,SCR反应器3B入口温度2,N3DCS.32HSA30CT102,,CDATA['N3DCS.LA20D20101'],"Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,320,100,100,200,40,300,30,700,35,800,40,900,50,1201,60])","Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,320,100,340,200,350,300,360,700,385,800,385,900,385,1201,390])","Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,0,100,100,200,275,300,280,700,300,800,300,900,300,1201,320])*CDATA['N3DCS.3ZABA06FADI']",,,,,1
1170,1//5,SCR反应器3B入口温度3,N3DCS.32HSA30CT103,,CDATA['N3DCS.LA20D20101'],"Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,320,100,100,200,40,300,30,700,35,800,40,900,50,1201,60])","Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,320,100,340,200,350,300,360,700,385,800,385,900,385,1201,390])","Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,0,100,100,200,275,300,280,700,300,800,300,900,300,1201,320])*CDATA['N3DCS.3ZABA06FADI']",,,,,1
1171,1//5,SCR反应器3B出口温度1,N3DCS.32HSA40CT101,,CDATA['N3DCS.LA20D20102'],20,"Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,320,100,340,200,350,300,360,700,385,800,385,900,385,1201,390])","Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,0,100,100,200,275,300,280,700,300,800,300,900,300,1201,320])*CDATA['N3DCS.3ZABA06FADI']",,,,,1
1172,1//5,SCR反应器3B出口温度2,N3DCS.32HSA40CT102,,CDATA['N3DCS.LA20D20102'],20,"Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,320,100,340,200,350,300,360,700,385,800,385,900,385,1201,390])","Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,0,100,100,200,275,300,280,700,300,800,300,900,300,1201,320])*CDATA['N3DCS.3ZABA06FADI']",,,,,1
1173,1,A侧喷氨关断阀开,N3DCS.30HSK21AA002XG01,,,,CDATA['N3DCS.3ZABA05FADI']*(1-CDATA['N3DCS.3BM04614']),CDATA['N3DCS.3ZABA05FADI']*(1-CDATA['N3DCS.3BM04614']),,,,,1
1174,1,A侧喷氨关断阀关,N3DCS.30HSK21AA002XG11,,,,1-CDATA['N3DCS.30HSK21AA002XG01'],1-CDATA['N3DCS.30HSK21AA002XG01'],,,,,1
1175,1,B侧喷氨关断阀开,N3DCS.30HSK22AA002XG01,,,,CDATA['N3DCS.3ZABA06FADI']*(1-CDATA['N3DCS.3BM04614']),CDATA['N3DCS.3ZABA06FADI']*(1-CDATA['N3DCS.3BM04614']),,,,,1
1176,1,B侧喷氨关断阀关,N3DCS.30HSK22AA002XG11,,,,1-CDATA['N3DCS.30HSK22AA002XG01'],1-CDATA['N3DCS.30HSK22AA002XG01'],,,,,1
1177,1,#3脱硫吸收塔水位A,N3DCS.3FGDLTBA100A,,,,2.1,1.55,CDATA['N3DCS.3BM04614'],,,,1
1178,1,#3脱硫吸收塔水位B,N3DCS.3FGDLTBA100B,,,,2.1,1.55,CDATA['N3DCS.3BM04614'],,,,1
1179,1,#3脱硫吸收塔水位C,N3DCS.3FGDLTBA100C,,,,2.1,1.55,CDATA['N3DCS.3BM04614'],,,,1
1180,1,#3脱硫吸收塔入口温度A,N3DCS.3TEBA100AAI,,,,60,5,,,,,1
1181,1,#3脱硫吸收塔入口温度B,N3DCS.3TEBA100BAI,,,,60,5,,,,,1
1182,1,#3脱硫吸收塔入口温度C,N3DCS.3TEBA100CAI,,,,60,5,,,,,1
1183,5,脱硫效率,N3DCS.FGD_EFFICIENCY,,,,100,92,,,,,1
1184,1,填料层上部压力,N3DCS.30HTD10CP012,,,,1.1,0,,,,,1
1185,1,填料层下部压力,N3DCS.3FGDPT100AI,,,,2.6,0,,,,,1
1186,1,除雾层出口压力,N3DCS.30HTD10CP022,,,,1.1,0,,,,,1
1187,1,吸收塔滤网差压A,N3DCS.30_FILTER_AI7,,,,8,-1,,,,,1
1188,1,吸收塔滤网差压B,N3DCS.30_FILTER_AI3,,,,8,-1,,,,,1
1189,1,吸收塔海水流量A,N3DCS.30HTK61CF001,FILTER//60,"CDATA['N3DCS.30HTD20AA101ZT']*3.4*math.sqrt(max(CDATA['N3DCS.30HTK61CP001'],0.000001))",2000//1000,7000,2000,,,,,1
1190,1,吸收塔海水流量B,N3DCS.30HTK61CF002,FILTER//60,"CDATA['N3DCS.30HTD20AA101ZT']*2.85*math.sqrt(max(CDATA['N3DCS.30HTK61CP001'],0.00001))",2000//1000,7000,2000,,,,,1
1191,1,吸收塔出口电动门开节点,N3DCS.30HTT10AA101OD,,,,1,1,CDATA['N3DCS.3BM04614'],,,,1
1192,1,吸收塔出口电动门关节点,N3DCS.30HTT10AA101CD,,,,1-CDATA['N3DCS.30HTT10AA101OD'],1-CDATA['N3DCS.30HTT10AA101OD'],,,,,1
1193,1,急冷水电动门开节点,N3DCS.30HTK99AA101OD,,,,"1 if max(CDATA['N3DCS.3TEBA100AAI'],CDATA['N3DCS.3TEBA100BAI'],CDATA['N3DCS.3TEBA100BAI'])>60 else 0","1 if max(CDATA['N3DCS.3TEBA100AAI'],CDATA['N3DCS.3TEBA100BAI'],CDATA['N3DCS.3TEBA100BAI'])>60 else 0",,,,,1
1194,1,急冷水电动门关节点,N3DCS.30HTK99AA101CD,,,,1 -CDATA['N3DCS.30HTK99AA101OD'],1 -CDATA['N3DCS.30HTK99AA101OD'],,,,,1
1195,1,烟道除雾器冲洗压力,N3DCS.30HTQ20CP001,,,,700,160,CDATA['N3DCS.3BM04614'],60,,,1
1196,5,净烟气SO2浓度,N3DCS.FGDTO3DCS021,,,,CDATA['N3DCS.3SO2REF'],0.1,CDATA['N3DCS.3BM04614'],,图表2_30/运行参数,mg/Nm,1
1197,5,净烟气SO2AVG,N3DCS.3SO2AVG,,,,33,0,CDATA['N3DCS.3BM04614'],,图表2_31/运行参数,,1
1198,5,原烟气SO2浓度,N3DCS.30HTA20CQ001_CAL,,,,3900-CDATA['N3DCS.3CCSMSFLOW']*0.654,"Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[-100,0,0,0,100,200,150,200,300,200,1000,200,2000,200,5000,200])",1 if (datetime.datetime.now().hour+4)%6==0 and (datetime.datetime.now().minute>5 and datetime.datetime.now().minute<18) else CDATA['N3DCS.3BM04614'],,,,1
1199,1//3,A海水升压泵运行信号,N3DCS.80HTK51AP001RN,,,,1,"1 if CDATA['N3DCS.80HTK52AP001RN']*min(CDATA['N3DCS.80HTK52BP001RN']+min(max(CDATA['N3DCS.80HTK52CE001']-20,0),1),1) == 0 or CDATA['N3DCS.80HTK53AP001RN']*min(CDATA['N3DCS.80HTK53BP001RN']+min(max(CDATA['N3DCS.80HTK53CE001']-20,0),1),1) == 0 else 0",,,,,1
1200,1//3,A海水升压泵变频运行信号,N3DCS.80HTK51BP001RN,,,,CDATA['N3DCS.80HTK51AA102OD'],CDATA['N3DCS.80HTK51AA102OD'],,,,,1
1201,4,A海水升压泵入口电动门开节点,N3DCS.80HTK51AA101OD,,,,1,"CDATA['N3DCS.80HTK51AP001RN']*min(CDATA['N3DCS.80HTK51BP001RN']+min(max(CDATA['N3DCS.80HTK51CE001']-20,0),1),1)",,,,,1
1202,4,A海水升压泵入口电动门关节点,N3DCS.80HTK51AA101CD,,,,1-CDATA['N3DCS.80HTK51AA101OD'],1-CDATA['N3DCS.80HTK51AA101OD'],CDATA['N3DCS.80HTK51AP001RN']==0,,,,1
1203,4,A海水升压泵出口电动门开节点,N3DCS.80HTK51AA102OD,,,,"CDATA['N3DCS.80HTK51AP001RN']*min(CDATA['N3DCS.80HTK51BP001RN']+min(max(CDATA['N3DCS.80HTK51CE001']-20,0),1),1)","CDATA['N3DCS.80HTK51AP001RN']*min(CDATA['N3DCS.80HTK51BP001RN']+min(max(CDATA['N3DCS.80HTK51CE001']-20,0),1),1)",,,,,1
1204,4,A海水升压泵出口电动门关节点,N3DCS.80HTK51AA102CD,,,,1-CDATA['N3DCS.80HTK51AA102OD'],1-CDATA['N3DCS.80HTK51AA102OD'],CDATA['N3DCS.80HTK51AP001RN']==0,,,,1
1205,1//3,B海水升压泵运行信号,N3DCS.80HTK52AP001RN,,,,1,"1 if CDATA['N3DCS.80HTK51AP001RN']*min(CDATA['N3DCS.80HTK51BP001RN']+min(max(CDATA['N3DCS.80HTK51CE001']-20,0),1),1) == 0 or CDATA['N3DCS.80HTK53AP001RN']*min(CDATA['N3DCS.80HTK53BP001RN']+min(max(CDATA['N3DCS.80HTK53CE001']-20,0),1),1) == 0 else 0",,,,,1
1206,1//3,B海水升压泵变频运行信号,N3DCS.80HTK52BP001RN,,,,CDATA['N3DCS.80HTK52AA102OD'],CDATA['N3DCS.80HTK52AA102OD'],,,,,1
1207,4,B海水升压泵入口电动门开节点,N3DCS.80HTK52AA101OD,,,,1,"CDATA['N3DCS.80HTK52AP001RN']*min(CDATA['N3DCS.80HTK52BP001RN']+min(max(CDATA['N3DCS.80HTK52CE001']-20,0),1),1)",,,,,1
1208,4,B海水升压泵入口电动门关节点,N3DCS.80HTK52AA101CD,,,,1-CDATA['N3DCS.80HTK52AA101OD'],1-CDATA['N3DCS.80HTK52AA101OD'],CDATA['N3DCS.80HTK52AP001RN']==0,,,,1
1209,4,B海水升压泵出口电动门开节点,N3DCS.80HTK52AA102OD,,,,"CDATA['N3DCS.80HTK52AP001RN']*min(CDATA['N3DCS.80HTK52BP001RN']+min(max(CDATA['N3DCS.80HTK52CE001']-20,0),1),1)","CDATA['N3DCS.80HTK52AP001RN']*min(CDATA['N3DCS.80HTK52BP001RN']+min(max(CDATA['N3DCS.80HTK52CE001']-20,0),1),1)",,,,,1
1210,4,B海水升压泵出口电动门关节点,N3DCS.80HTK52AA102CD,,,,1-CDATA['N3DCS.80HTK52AA102OD'],1-CDATA['N3DCS.80HTK52AA102OD'],CDATA['N3DCS.80HTK52AP001RN']==0,,,,1
1211,1//3,C海水升压泵运行信号,N3DCS.80HTK53AP001RN,,,,1,"1 if CDATA['N3DCS.80HTK51AP001RN']*min(CDATA['N3DCS.80HTK51BP001RN']+min(max(CDATA['N3DCS.80HTK51CE001']-20,0),1),1) == 0 or CDATA['N3DCS.80HTK52AP001RN']*min(CDATA['N3DCS.80HTK52BP001RN']+min(max(CDATA['N3DCS.80HTK52CE001']-20,0),1),1) == 0 else 0",,,,,1
1212,1//3,C海水升压泵变频运行信号,N3DCS.80HTK53BP001RN,,,,CDATA['N3DCS.80HTK53AA102OD'],CDATA['N3DCS.80HTK53AA102OD'],,,,,1
1213,4,C海水升压泵入口电动门开节点,N3DCS.80HTK53AA101OD,,,,1,"CDATA['N3DCS.80HTK53AP001RN']*min(CDATA['N3DCS.80HTK53BP001RN']+min(max(CDATA['N3DCS.80HTK53CE001']-20,0),1),1)",,,,,1
1214,4,C海水升压泵入口电动门关节点,N3DCS.80HTK53AA101CD,,,,1-CDATA['N3DCS.80HTK53AA101OD'],1-CDATA['N3DCS.80HTK53AA101OD'],CDATA['N3DCS.80HTK53AP001RN']==0,,,,1
1215,4,C海水升压泵出口电动门开节点,N3DCS.80HTK53AA102OD,,,,"CDATA['N3DCS.80HTK53AP001RN']*min(CDATA['N3DCS.80HTK53BP001RN']+min(max(CDATA['N3DCS.80HTK53CE001']-20,0),1),1)","CDATA['N3DCS.80HTK53AP001RN']*min(CDATA['N3DCS.80HTK53BP001RN']+min(max(CDATA['N3DCS.80HTK53CE001']-20,0),1),1)",,,,,1
1216,4,C海水升压泵出口电动门关节点,N3DCS.80HTK53AA102CD,,,,1-CDATA['N3DCS.80HTK53AA102OD'],1-CDATA['N3DCS.80HTK53AA102OD'],CDATA['N3DCS.80HTK53AP001RN']==0,,,,1
1217,1,吸收塔海水入口压力 ,N3DCS.30HTK61CP001,,"AVG('N3DCS.30HTK61CP001',1000)",5,150,95*(1-CDATA['N3DCS.3BM04614'])-5,,,,,1
1218,1,海水PH,N3DCS.80HTT10CQ001,,"max(6.8,CDATA['N3DCS.80HTT10CQ001'])",3.5,8,1,,,,,1
1219,1,A海水升压泵电流,N3DCS.80HTK51CE001,,yc('N3DCS.80HTK51CE001') if CDATA['N3DCS.80HTK51BP001RN']==1 else CDATA['N3DCS.80HTK51AP001RN_R']*115,"max(CDATA['N3DCS.80HTK51CE001']/10,5)+5","120*CDATA['N3DCS.80HTK51AP001RN']*min(CDATA['N3DCS.80HTK51BP001RN']+min(max(CDATA['N3DCS.80HTK51CE001']-20,0),1),1)+5","40*CDATA['N3DCS.80HTK51AP001RN']*min(CDATA['N3DCS.80HTK51BP001RN']+min(max(CDATA['N3DCS.80HTK51CE001']-20,0),1),1)-5",,,,,1
1220,1,A海水升压泵入口压力,N3DCS.80HTK51CP011,,,,30,"12*(1-CDATA['N3DCS.80HTK51AP001RN']*min(CDATA['N3DCS.80HTK51BP001RN']+min(max(CDATA['N3DCS.80HTK51CE001']-20,0),1),1))-2",CDATA['N3DCS.80HTK51AP001RN']==0,,,,1
1221,1,A海水升压泵出口压力,N3DCS.80HTK51CP021,,,,"235*CDATA['N3DCS.80HTK51AP001RN']*min(CDATA['N3DCS.80HTK51BP001RN']+min(max(CDATA['N3DCS.80HTK51CE001']-20,0),1),1)+35","185*CDATA['N3DCS.80HTK51AP001RN']*min(CDATA['N3DCS.80HTK51BP001RN']+min(max(CDATA['N3DCS.80HTK51CE001']-20,0),1),1)",,,,,1
1222,1,A海水升压泵马达线圈温度1,N3DCS.80HTK51CT021,,,,100,5,,,,,1
1223,1,A海水升压泵马达线圈温度2,N3DCS.80HTK51CT022,,,,100,5,,,,,1
1224,1,A海水升压泵马达线圈温度3,N3DCS.80HTK51CT023,,,,100,5,,,,,1
1225,1,A海水升压泵前轴承温度,N3DCS.80HTK51CT001,,,,65,5,,,,,1
1226,1,A海水升压泵后轴承温度,N3DCS.80HTK51CT002,,,,65,5,,,,,1
1227,1,A海水升压泵电机受力端轴承温度,N3DCS.80HTK51CT011,,,,75,5,,,,,1
1228,1,A海水升压泵电机自由端轴承温度,N3DCS.80HTK51CT012,,,,75,5,,,,,1
1229,1,B海水升压泵电流,N3DCS.80HTK52CE001,,yc('N3DCS.80HTK52CE001') if CDATA['N3DCS.80HTK52BP001RN']==1 else CDATA['N3DCS.80HTK52AP001RN_R']*115,"max(CDATA['N3DCS.80HTK52CE001']/10,5)","120*CDATA['N3DCS.80HTK52AP001RN']*min(CDATA['N3DCS.80HTK52BP001RN']+min(max(CDATA['N3DCS.80HTK52CE001']-20,0),1),1)+5","45*CDATA['N3DCS.80HTK52AP001RN']*min(CDATA['N3DCS.80HTK52BP001RN']+min(max(CDATA['N3DCS.80HTK52CE001']-20,0),1),1)-5",1,,,,1
1230,1,B海水升压泵入口压力,N3DCS.80HTK52CP011,,,,30,"12*(1-CDATA['N3DCS.80HTK52AP001RN']*min(CDATA['N3DCS.80HTK52BP001RN']+min(max(CDATA['N3DCS.80HTK52CE001']-20,0),1),1))-2",CDATA['N3DCS.80HTK52AP001RN']==0,,,,1
1231,1,B海水升压泵出口压力,N3DCS.80HTK52CP021,,,,"235*CDATA['N3DCS.80HTK52AP001RN']*min(CDATA['N3DCS.80HTK52BP001RN']+min(max(CDATA['N3DCS.80HTK52CE001']-20,0),1),1)+35","185*CDATA['N3DCS.80HTK52AP001RN']*min(CDATA['N3DCS.80HTK52BP001RN']+min(max(CDATA['N3DCS.80HTK52CE001']-20,0),1),1)",,,,,1
1232,1,B海水升压泵马达线圈温度1,N3DCS.80HTK52CT021,,,,105,5,,,,,1
1233,1,B海水升压泵马达线圈温度2,N3DCS.80HTK52CT022,,,,105,5,,,,,1
1234,1,B海水升压泵马达线圈温度3,N3DCS.80HTK52CT023,,,,105,5,,,,,1
1235,1,B海水升压泵前轴承温度,N3DCS.80HTK52CT001,,,,65,5,,,,,1
1236,1,B海水升压泵后轴承温度,N3DCS.80HTK52CT002,,,,65,5,,,,,1
1237,1,B海水升压泵电机受力端轴承温度,N3DCS.80HTK52CT011,,,,75,5,,,,,1
1238,1,B海水升压泵电机自由端轴承温度,N3DCS.80HTK52CT012,,,,75,5,,,,,1
1239,1,C海水升压泵电流,N3DCS.80HTK53CE001,,yc('N3DCS.80HTK53CE001') if CDATA['N3DCS.80HTK53BP001RN']==1 else CDATA['N3DCS.80HTK53AP001RN_R']*115,15,"120*CDATA['N3DCS.80HTK53AP001RN']*min(CDATA['N3DCS.80HTK53BP001RN']+min(max(CDATA['N3DCS.80HTK53CE001']-20,0),1),1)+5","45*CDATA['N3DCS.80HTK53AP001RN']*min(CDATA['N3DCS.80HTK53BP001RN']+min(max(CDATA['N3DCS.80HTK53CE001']-20,0),1),1)-5",,,,,1
1240,1,C海水升压泵入口压力,N3DCS.80HTK53CP011,,,,30,"12*(1-CDATA['N3DCS.80HTK53AP001RN']*min(CDATA['N3DCS.80HTK53BP001RN']+min(max(CDATA['N3DCS.80HTK53CE001']-20,0),1),1))-2",CDATA['N3DCS.80HTK53AP001RN']==0,,,,1
1241,1,C海水升压泵出口压力,N3DCS.80HTK53CP021,,,,"235*CDATA['N3DCS.80HTK53AP001RN']*min(CDATA['N3DCS.80HTK53BP001RN']+min(max(CDATA['N3DCS.80HTK53CE001']-20,0),1),1)+35","185*CDATA['N3DCS.80HTK53AP001RN']*min(CDATA['N3DCS.80HTK53BP001RN']+min(max(CDATA['N3DCS.80HTK53CE001']-20,0),1),1)",,,,,1
1242,1,C海水升压泵马达线圈温度1,N3DCS.80HTK53CT021,,,,100,5,,,,,1
1243,1,C海水升压泵马达线圈温度2,N3DCS.80HTK53CT022,,,,100,5,,,,,1
1244,1,C海水升压泵马达线圈温度3,N3DCS.80HTK53CT023,,,,100,5,,,,,1
1245,1,C海水升压泵前轴承温度,N3DCS.80HTK53CT001,,,,65,5,,,,,1
1246,1,C海水升压泵后轴承温度,N3DCS.80HTK53CT002,,,,65,5,,,,,1
1247,1,C海水升压泵电机受力端轴承温度,N3DCS.80HTK53CT011,,,,75,5,,,,,1
1248,1,C海水升压泵电机自由端轴承温度,N3DCS.80HTK53CT012,,,,75,5,,,,,1
1249,1,B海水升压泵出口滤网差压,N3DCS.80HTK52CP001,,,,9,-1,,,,,1
1250,1//3,A脱硫海水取样泵,N3DCS.80HTT10AP002RN,,,,1-CDATA['N3DCS.80HTT10AP003RN'],1-CDATA['N3DCS.80HTT10AP003RN'],,,,,1
1251,1//3,B脱硫海水取样泵,N3DCS.80HTT10AP003RN,,,,1-CDATA['N3DCS.80HTT10AP002RN'],1-CDATA['N3DCS.80HTT10AP002RN'],,,,,1
1252,1,脱硫海水取样泵出口压力,N3DCS.80HTT10CP001,,,,(CDATA['N3DCS.80HTT10AP002RN']+CDATA['N3DCS.80HTT10AP003RN'])*80+20,"min(CDATA['N3DCS.80HTT10AP002RN']+CDATA['N3DCS.80HTT10AP003RN'],1)*60-20",,,,,1
1253,5,海水DO值,N3DCS.80HTT10CQ002,,,,30,0.1,,,,,1
1254,1//3,A曝气风机运行信号,N3DCS.80HTG10AN001RN,,,,1,(CDATA['N3DCS.3ECSGC001DI']+CDATA['N4DCS.4ECSGC000DI'])-(CDATA['N3DCS.80HTG20AN001RN']+CDATA['N3DCS.80HTG30AN001RN']+CDATA['N3DCS.80HTG40AN001RN']),,,,,1
1255,1//3,A曝气风机停止信号,N3DCS.80HTG10AN001TR,,,,abs(1-CDATA['N3DCS.80HTG10AN001RN']),abs(1-CDATA['N3DCS.80HTG10AN001RN']),,,,,1
1256,1//3,A曝气风机A润滑油泵,N3DCS.80HTG15AP001RN,,,,1-CDATA['N3DCS.80HTG15AP002RN'],(1-CDATA['N3DCS.80HTG15AP002RN'])*CDATA['N3DCS.80HTG10AN001RN'],,,,,1
1257,1//3,A曝气风机B润滑油泵,N3DCS.80HTG15AP002RN,,,,1-CDATA['N3DCS.80HTG15AP001RN'],(1-CDATA['N3DCS.80HTG15AP001RN'])*CDATA['N3DCS.80HTG10AN001RN'],,,,,1
1258,1,A曝气风机润滑油温,N3DCS.80HTG10CT001,,,,45,10,,,,,1
1259,1//3,B曝气风机运行信号,N3DCS.80HTG20AN001RN,,,,1,(CDATA['N3DCS.3ECSGC001DI']+CDATA['N4DCS.4ECSGC000DI'])-(CDATA['N3DCS.80HTG10AN001RN']+CDATA['N3DCS.80HTG30AN001RN']+CDATA['N3DCS.80HTG40AN001RN']),,,,,1
1260,1//3,B曝气风机停止信号,N3DCS.80HTG20AN001TR,,,,abs(1-CDATA['N3DCS.80HTG20AN001RN']),abs(1-CDATA['N3DCS.80HTG20AN001RN']),,,,,1
1261,1//3,B曝气风机A润滑油泵,N3DCS.80HTG25AP001RN,,,,1-CDATA['N3DCS.80HTG25AP002RN'],(1-CDATA['N3DCS.80HTG25AP002RN'])*CDATA['N3DCS.80HTG20AN001RN'],,,,,1
1262,1//3,B曝气风机B润滑油泵,N3DCS.80HTG25AP002RN,,,,1-CDATA['N3DCS.80HTG25AP001RN'],(1-CDATA['N3DCS.80HTG25AP001RN'])*CDATA['N3DCS.80HTG20AN001RN'],,,,,1
1263,1,B曝气风机润滑油温,N3DCS.80HTG20CT001,,,,44,10,,,,,1
1264,1//3,C曝气风机运行信号,N3DCS.80HTG30AN001RN,,,,1,(CDATA['N3DCS.3ECSGC001DI']+CDATA['N4DCS.4ECSGC000DI'])-(CDATA['N3DCS.80HTG10AN001RN']+CDATA['N3DCS.80HTG20AN001RN']+CDATA['N3DCS.80HTG40AN001RN']),,,,,1
1265,1//3,C曝气风机停止信号,N3DCS.80HTG30AN001TR,,,,abs(1-CDATA['N3DCS.80HTG30AN001RN']),abs(1-CDATA['N3DCS.80HTG30AN001RN']),,,,,1
1266,1//3,C曝气风机A润滑油泵,N3DCS.80HTG35AP001RN,,,,1-CDATA['N3DCS.80HTG35AP002RN'],(1-CDATA['N3DCS.80HTG35AP002RN'])*CDATA['N3DCS.80HTG30AN001RN'],,,,,1
1267,1//3,C曝气风机B润滑油泵,N3DCS.80HTG35AP002RN,,,,1-CDATA['N3DCS.80HTG35AP001RN'],(1-CDATA['N3DCS.80HTG35AP001RN'])*CDATA['N3DCS.80HTG30AN001RN'],,,,,1
1268,1,C曝气风机润滑油温,N3DCS.80HTG30CT001,,,,44,10,,,,,1
1269,1//3,D曝气风机运行信号,N3DCS.80HTG40AN001RN,,,,1,(CDATA['N3DCS.3ECSGC001DI']+CDATA['N4DCS.4ECSGC000DI'])-(CDATA['N3DCS.80HTG10AN001RN']+CDATA['N3DCS.80HTG20AN001RN']+CDATA['N3DCS.80HTG30AN001RN']),,,,,1
1270,1//3,D曝气风机停止信号,N3DCS.80HTG40AN001TR,,,,abs(1-CDATA['N3DCS.80HTG40AN001RN']),abs(1-CDATA['N3DCS.80HTG40AN001RN']),,,,,1
1271,1//3,D曝气风机A润滑油泵,N3DCS.80HTG45AP001RN,,,,1-CDATA['N3DCS.80HTG45AP002RN'],(1-CDATA['N3DCS.80HTG45AP002RN'])*CDATA['N3DCS.80HTG40AN001RN'],,,,,1
1272,1//3,D曝气风机B润滑油泵,N3DCS.80HTG45AP002RN,,,,1-CDATA['N3DCS.80HTG45AP001RN'],(1-CDATA['N3DCS.80HTG45AP001RN'])*CDATA['N3DCS.80HTG40AN001RN'],,,,,1
1273,1,D曝气风机润滑油温,N3DCS.80HTG40CT001,,,,45,10,,,,,1
1274,1,A曝气风机马达线圈温度1,N3DCS.80HTG10CT061,,,,115,5,,,,,1
1275,1,A曝气风机马达线圈温度2,N3DCS.80HTG10CT062,,,,115,5,,,,,1
1276,1,A曝气风机马达线圈温度3,N3DCS.80HTG10CT063,,,,115,5,,,,,1
1277,1,A曝气风机电流,N3DCS.80HTG10CE001,,yc('N3DCS.80HTG10CE001'),10,195*CDATA['N3DCS.80HTG10AN001RN']+5,95*CDATA['N3DCS.80HTG10AN001RN']-3,,,,,1
1278,1,A曝气风机出口压力,N3DCS.80HTG10CP001,,,,24*CDATA['N3DCS.80HTG10AN001RN']+4,16*CDATA['N3DCS.80HTG10AN001RN']-0.5,,,,,1
1279,1,A曝气风机入口挡板开度,N3DCS.80HTG10AA001ZT,,,,28*CDATA['N3DCS.80HTG10AN001RN']+2,12*CDATA['N3DCS.80HTG10AN001RN']-2,,,,,1
1280,1,A曝气风机振动前轴承1,N3DCS.80HTG10CY011,,,,4*CDATA['N3DCS.80HTG10AN001RN']+1,-1,,,,,1
1281,1,A曝气风机振动前轴承2,N3DCS.80HTG10CY012,,,,4*CDATA['N3DCS.80HTG10AN001RN']+1,-1,,,,,1
1282,1,A曝气风机振动后轴承1,N3DCS.80HTG10CY021,,,,4*CDATA['N3DCS.80HTG10AN001RN']+1,-1,,,,,1
1283,1,A曝气风机振动后轴承2,N3DCS.80HTG10CY022,,,,4*CDATA['N3DCS.80HTG10AN001RN']+1,-1,,,,,1
1284,1,A曝气风机风机侧前轴承温度,N3DCS.80HTG10CT011,,,,69,5,,,,,1
1285,1,A曝气风机风机侧后轴承温度,N3DCS.80HTG10CT021,,,,69,5,,,,,1
1286,1,A曝气风机电机驱动端轴承温度,N3DCS.80HTG10CT041,,,,69,5,,,,,1
1287,1,A曝气风机电机自由端轴承温度,N3DCS.80HTG10CT051,,,,69,5,,,,,1
1288,1,B曝气风机马达线圈温度1,N3DCS.80HTG20CT061,,,,115,5,,,,,1
1289,1,B曝气风机马达线圈温度2,N3DCS.80HTC20CT062,,,,115,5,,,,,1
